TargetID	Gene_symbol
T93062	ABCB4
T98091	GPR84
T07247	S100A12
T30731	KNG1
T73676	SV2A
T03755	BCL2L2
T78890	TFPI
T82391	NDUFA13
T07400	AGER
T11843	VKORC1
T06869	PDGFA
T75716	DLL3
T79031	BACE1
T85529	CD28
T93995	NEDD8
T45593	MAPT
T08898	MC2R
T56556	ABCG2
T22212	FCGR2A
T94444	AOX1
T09538	ALPL
T51120	TPO
T74363	PLAUR
T34949	CACNA1A
T92494	EEF2K
T05089	ANO1
T03556	HNF1A
T72515	IL1R1
T95998	PCYT1B
T43206	RORA
